Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A10_543742
Composite Element REF	Signal
HCRTR1	4.14082587107255
FST	8.15347162795585
PAWR	4.58154023237295
LDLR	5.97735399971264
ASTN2	4.03371301653137
SCRN1	7.1448708973797
GPATCH8	6.48950696681109
KIF4A	6.74721623359449
TANC2	4.48051670518752
ZMYM5	4.10575124730456
PGM1	8.93397036939817
ZNF586	5.02555003339972
POLR3G	4.43335710373948
CPD	6.96778588525747
SNCAIP	7.8733938883067
DCT	3.83256015597518
HLA-DOA	4.00442691378812
TANK	6.57419413488493
RCAN1	5.39933034585517
UPK1B	10.9258828096065
DNAJB4	5.26126238399716
UGT1A8	3.90054070929296
LIMD2	4.31560082598671
HIST1H4L	4.0221278428774
PECR	4.53690371435503
HSPA2	6.11562728432183
SERP1	10.4278474704738
TACR2	3.95086145465449
NUP85	7.84512438444653
CD177	4.03999767962729
GPR135	3.58988997839323
PIGG	6.60473464401538
LGR5	3.70324934665039
JAK2	4.33219324926851
DPYSL4	3.70145495808133
TM9SF4	6.93675393347854
PTHR1	3.57499904354939
SIRPG	4.21739983367703
ZNF264	5.16149374797506
BICD1	4.72952957406694
RAB5A	7.54401626157543
FLJ13224	3.45277940130383
METTL5	10.1463054574319
HERC6	5.04637499958468
CASP1	9.2583164389396
USP9Y	3.91204626362924
LRP1B	3.25742093492254
XAF1	4.87014456499341
PLA2G4C	4.35518156355909
APOA2	3.39550563330168
SPAG6	3.39856378737836
KALRN	3.51438840003608
SECTM1	5.94549724001435
THOC7	9.43113947325163
IFNAR1	4.57852241760338
TCTA	5.72736958957096
NY-REN-7	3.52318396345192
TALDO1	9.95296629886731
B2M	12.1540165848733
LPPR4	3.41310208476204
SQLE	8.0301078862902
SEPHS1	6.43178641653589
EIF5A	7.92714986763224
FAM49A	4.77845798283164
YTHDC2	4.91286083678189
EHD2	5.41647206701205
NCF1	4.29006639028601
SPG7	6.92532271633439
ZNF614	3.98230532768139
HOXA5	4.36937196614513
NUP133	8.12484151126574
FGF12	4.00304620613257
SLMO2	8.54615639749918
INPP5B	5.22483913269495
PPID	6.72241961967863
SNTA1	4.77549564883669
IL20RA	4.67950866344363
UBE2J1	6.43850240895946
CACNG2	3.47704154455656
GCM1	3.70017605787556
ELF1	6.85331231604795
TLR5	5.74521043435671
TCFL5	7.13569394486463
C1orf107	6.67214852451436
C19orf22	8.57331642287907
SAFB2	6.82825931052613
MAP3K7IP1	4.47058341400215
NCK2	8.87600323148862
OXA1L	9.26013895468823
KIAA0652	5.74395969239566
KLRG1	4.24536555886036
FRAG1	6.30740720613482
ZSCAN12	3.31634023396342
PSMD12	8.2152235516913
E2F4	5.98040284713527
